LOCATION,ENTRY,NAME,REPS
B,118,CLS21-0114;028,2
B,530,CLS21-0755;016,2
B,452,CLS21-0622;007,2
B,676,CLS21-0911;017,2
B,633,CLS21-0906;024,2
B,416,CLS21-0512;001,2
B,130,CLS21-0114;040,2
B,617,CLS21-0906;008,2
B,447,CLS21-0622;002,2
B,119,CLS21-0114;029,2
B,528,CLS21-0755;014,2
B,311,CLS21-0178;013,2
B,43,CLS21-0050;033,2
B,114,CLS21-0114;024,2
B,654,CLS21-0906;045,2
B,146,CLS21-0118;012,2
B,88,CLS21-0111;033,2
B,215,CLS21-0142;038,2
B,558,CLS21-0758;014,2
B,525,CLS21-0755;011,2
B,93,CLS21-0114;003,2
B,413,CLS21-0199;036,2
B,618,CLS21-0906;009,2
B,304,CLS21-0178;006,2
B,195,CLS21-0142;018,2
B,338,CLS21-0179;001,2
B,192,CLS21-0142;015,2
B,504,CLS21-0685;025,2
B,153,CLS21-0118;019,2
B,196,CLS21-0142;019,2
B,364,CLS21-0179;027,2
B,686,CLS21-0911;027,2
B,131,CLS21-0114;041,2
B,603,CLS21-0805;032,2
B,574,CLS21-0805;003,2
B,243,CLS21-0169;024,2
B,586,CLS21-0805;015,2
B,575,CLS21-0805;004,2
B,249,CLS21-0169;030,2
B,70,CLS21-0111;015,2
B,182,CLS21-0142;005,2
B,384,CLS21-0199;007,2
B,178,CLS21-0142;001,2
B,531,CLS21-0755;017,2
B,321,CLS21-0178;023,2
B,14,CLS21-0050;004,2
B,20,CLS21-0050;010,2
B,642,CLS21-0906;033,2
B,460,CLS21-0622;015,2
B,454,CLS21-0622;009,2
B,16,CLS21-0050;006,2
B,308,CLS21-0178;010,2
B,624,CLS21-0906;015,2
B,620,CLS21-0906;011,2
B,443,CLS21-0512;028,2
B,472,CLS21-0622;027,2
B,612,CLS21-0906;003,2
B,683,CLS21-0911;024,2
B,65,CLS21-0111;010,2
B,572,CLS21-0805;001,2
B,81,CLS21-0111;026,2
B,247,CLS21-0169;028,2
B,527,CLS21-0755;013,2
B,122,CLS21-0114;032,2
B,381,CLS21-0199;004,2
B,552,CLS21-0758;008,2
B,272,CLS21-0172;011,2
B,135,CLS21-0118;001,2
B,582,CLS21-0805;011,2
B,513,CLS21-0685;034,2
B,80,CLS21-0111;025,2
B,313,CLS21-0178;015,2
B,648,CLS21-0906;039,2
B,354,CLS21-0179;017,2
B,415,CLS21-0199;038,2
B,334,CLS21-0178;036,2
B,89,CLS21-0111;034,2
B,230,CLS21-0169;011,2
B,470,CLS21-0622;025,2
B,76,CLS21-0111;021,2
B,465,CLS21-0622;020,2
B,453,CLS21-0622;008,2
B,628,CLS21-0906;019,2
B,121,CLS21-0114;031,2
B,98,CLS21-0114;008,2
B,274,CLS21-0172;013,2
B,386,CLS21-0199;009,2
B,127,CLS21-0114;037,2
B,532,CLS21-0755;018,2
B,576,CLS21-0805;005,2
B,360,CLS21-0179;023,2
B,115,CLS21-0114;025,2
B,161,CLS21-0118;027,2
B,194,CLS21-0142;017,2
B,87,CLS21-0111;032,2
B,209,CLS21-0142;032,2
B,156,CLS21-0118;022,2
B,458,CLS21-0622;013,2
B,273,CLS21-0172;012,2
B,263,CLS21-0172;002,2
B,446,CLS21-0622;001,2
B,495,CLS21-0685;016,2
B,457,CLS21-0622;012,2
B,411,CLS21-0199;034,2
B,331,CLS21-0178;033,2
B,396,CLS21-0199;019,2
B,206,CLS21-0142;029,2
B,522,CLS21-0755;008,2
B,370,CLS21-0179;033,2
B,47,CLS21-0050;037,2
B,171,CLS21-0118;037,2
B,79,CLS21-0111;024,2
B,635,CLS21-0906;026,2
B,90,CLS21-0111;035,2
B,92,CLS21-0114;002,2
B,36,CLS21-0050;026,2
B,502,CLS21-0685;023,2
B,448,CLS21-0622;003,2
B,149,CLS21-0118;015,2
B,55,CLS21-0050;045,2
B,126,CLS21-0114;036,2
B,518,CLS21-0755;004,2
B,221,CLS21-0169;002,2
B,442,CLS21-0512;027,2
B,410,CLS21-0199;033,2
B,366,CLS21-0179;029,2
B,450,CLS21-0622;005,2
B,651,CLS21-0906;042,2
B,111,CLS21-0114;021,2
B,203,CLS21-0142;026,2
B,154,CLS21-0118;020,2
B,307,CLS21-0178;009,2
B,290,CLS21-0172;029,2
B,640,CLS21-0906;031,2
B,524,CLS21-0755;010,2
B,160,CLS21-0118;026,2
B,374,CLS21-0179;037,2
B,619,CLS21-0906;010,2
B,500,CLS21-0685;021,2
B,391,CLS21-0199;014,2
B,326,CLS21-0178;028,2
B,377,CLS21-0179;040,2
B,151,CLS21-0118;017,2
B,639,CLS21-0906;030,2
B,449,CLS21-0622;004,2
B,289,CLS21-0172;028,2
B,432,CLS21-0512;017,2
B,438,CLS21-0512;023,2
B,322,CLS21-0178;024,2
B,318,CLS21-0178;020,2
B,158,CLS21-0118;024,2
B,73,CLS21-0111;018,2
B,385,CLS21-0199;008,2
B,262,CLS21-0172;001,2
B,668,CLS21-0911;009,2
B,71,CLS21-0111;016,2
B,632,CLS21-0906;023,2
B,328,CLS21-0178;030,2
B,551,CLS21-0758;007,2
B,426,CLS21-0512;011,2
B,489,CLS21-0685;010,2
B,222,CLS21-0169;003,1
